data,IPCA,mediadosnucleos,EX3servicos,administrados,servicos,industriais,alimentacaonodomicilio
1999-10-01,10.56952429198978,6.698300993176534,0.5155605964697543,17.27918069615555,1.4324760657911355,13.998560566917021,-1.2814266312566645
1999-11-01,11.184214623734007,6.917534484689324,0.9399627938973936,17.934015506237316,1.9272302544353295,13.463103062815222,1.9706159015025406
1999-12-01,10.330331696443665,6.891447541408181,2.7331471965136984,13.726137066037666,3.265122135232403,11.776036853180358,11.39886956283604
2000-01-01,7.1224123596942235,4.830829243416224,3.105344695697525,10.30477510233571,4.3675913170242495,4.386627185265368,14.255433854858993
2000-02-01,3.5431474632268163,3.740142519257313,2.998276574354165,2.291142477503371,3.393854488836851,3.401591155844514,13.402492193631161
2000-03-01,2.370272792771928,2.5457515403316053,1.1586491354576651,6.4741394062146895,1.7395872515626962,2.7784868683701944,4.996438316452895
2000-04-01,2.492573954615679,2.9300574627304483,0.8863819992179316,5.500151634109841,5.337694493784028,2.9074483117748713,0.7513229238359287
2000-05-01,3.299520173625254,2.841304734693574,0.5099372277817196,7.599972925404458,5.355925360813359,2.6360086841646932,0.2768954510506063
2000-06-01,4.604300131539077,4.019202467017967,1.075892382436308,1.867602288103015,6.203137990397138,5.33339610743397,1.1499808409122636
2000-07-01,8.498956868820585,4.193945317763712,0.05989334606854868,17.02785041351366,0.8777031234059365,6.682273957598667,1.9700347737823876
2000-08-01,13.83538718941611,5.781111971695521,1.6143708371654668,28.283014476333364,1.9745908639834369,8.334210276497146,2.041498844000756
2000-09-01,14.247281883694157,5.7256698431435185,2.187512561347546,31.68283584203516,2.370462300313278,7.22114045900355,2.7956656203141534
2000-10-01,8.520654549896904,4.982786950398889,3.8775176731431458,15.288357366213901,3.594215418928286,5.6237364528997915,2.4814509137358556
2000-11-01,3.3483910617046178,3.591461065314971,2.579121718666215,7.600910319507676,3.25386592358565,3.368684208836825,2.5082495814147308
2000-12-01,2.6731189514653835,2.9427938268654175,2.021619110469274,13.724355319175345,2.727262056284758,2.3986509007814334,-2.434611419076333
2001-01-01,4.10754087692456,2.939388980691143,1.9515041328444624,15.53280561866029,2.3488395648106177,1.9317698368134018,-2.837111062447235
2001-02-01,4.823659042726547,3.6584346758306765,2.3432828703272293,14.012410381883612,2.439581897108283,2.7344699875929876,-1.3160701920199642
2001-03-01,4.5970951902376385,4.046831073472015,2.550715307254052,5.669066388837635,2.8116082310344552,2.7630053911866383,4.360484316823502
2001-04-01,5.500189775535702,4.367333364164622,3.221290116397668,2.8109552348369817,4.7191904116838685,2.2627613383435516,8.479843163445295
2001-05-01,6.61307835871574,4.6786686135721425,4.854499400041618,2.6186839845713195,5.947333115098985,1.9705215251078414,11.185620706968763
